Iasi,IasiSPD,AurelVlaicu,AurelVlaicuSPD,Constanta,ConstantaSPD,TarguSecuiesc,TarguSecuiescSPD,RamnicuValcea,RamnicuValceaSPD
320,31,100,67,90,31,290,20,360,18
320,31,50,38,90,36,270,18,30,45
320,31,260,34,50,36,270,16,180,27
110,45,270,31,110,40,50,18,270,16
320,31,260,31,110,40,50,18,180,27
320,31,220,45,110,40,230,18,20,18
290,31,200,45,50,40,320,20,20,18
290,31,60,34,50,40,270,16,230,16
320,36,60,31,20,36,270,16,360,22
320,36,60,31,360,31,250,20,360,18
320,36,50,31,10,47,200,18,290,18
300,31,50,34,10,51,290,20,250,22
80,47,50,31,10,63,180,16,360,18
90,47,70,34,160,60,320,16,360,22
320,49,60,34,270,36,50,18,360,22
330,56,260,31,270,36,50,20,230,18
10,81,80,34,270,31,50,16,360,16
310,31,60,31,270,31,270,16,360,18
320,31,60,31,270,31,290,18,230,18
310,31,50,31,50,31,150,22,270,16
330,38,40,31,360,31,290,20,340,16
250,31,40,31,50,31,50,16,360,16
340,34,40,36,50,31,50,20,360,18
20,31,40,31,50,31,50,20,80,27
120,49,40,31,50,31,70,16,200,16
80,49,50,30,50,31,50,18,180,18
30,45,50,31,340,31,50,27,320,18
300,31,50,32,270,45,50,31,340,22
220,36,50,32,90,31,50,31,20,22
310,31,50,31,300,45,50,22,100,27
310,31,50,30,270,31,50,16,180,18
320,34,50,30,270,31,50,22,360,18
330,31,50,33,270,31,50,18,270,18
320,31,60,33,230,40,50,18,200,22
330,31,60,33,20,31,50,18,200,22
330,34,60,36,220,49,230,18,110,16
330,34,60,33,340,40,200,16,200,16
330,31,50,31,20,31,50,18,360,16
110,45,60,38,360,31,180,18,90,18
120,31,,,20,31,180,16,230,18
280,31,,,50,31,180,20,340,18
310,33,,,20,31,70,16,360,18
320,34,,,360,36,70,16,120,34
310,33,,,360,36,360,18,160,18
320,31,,,20,36,320,20,340,18
310,31,,,20,36,290,20,320,27
320,34,,,360,36,270,36,100,31
310,36,,,360,36,270,40,230,45
320,34,,,360,36,290,31,220,49
310,31,,,360,36,50,18,360,16
310,31,,,360,36,50,18,320,16
90,31,,,360,36,70,16,340,16
80,31,,,360,36,180,16,10,16
